id_pagamento,id_fatura,data_pagamento,valor_pago,metodo_pagamento
91,4197,2024-11-29,3324.15,Cartão de Crédito
92,5828,2023-03-26,6575.52,PIX
93,5104,2023-10-06,6524.46,Transferência
94,5642,2023-04-08,5482.44,PIX
95,5096,2024-09-06,1507.39,Cartão de Crédito
96,1042,2023-06-23,8270.75,Cartão de Crédito
97,1469,2025-02-20,2669.27,Boleto
98,5676,2024-06-05,5954.74,Transferência
99,6911,2024-06-04,2321.31,PIX
100,6299,2024-04-29,837.92,Boleto
101,6765,2023-11-04,6471.21,PIX
102,4256,2023-09-22,1233.14,Transferência
103,5757,2023-11-06,8212.14,PIX
104,3767,2024-05-31,2748.02,Boleto
105,2542,2023-07-31,6496.71,PIX
106,1876,2024-06-03,189.29,Boleto
107,2337,2024-06-19,408.29,Cartão de Crédito
108,749,2024-03-03,4786.95,PIX
109,5986,2023-07-17,526.09,Cartão de Crédito
110,6572,2025-01-31,7936.91,PIX
111,2162,2024-01-08,7038.29,PIX
112,4205,2023-04-07,5667.12,PIX
113,2745,2023-04-19,9963.53,Boleto
114,1619,2024-05-12,446.6,Transferência
115,1263,2025-01-07,438.17,Cartão de Crédito
116,1630,2023-03-14,826.04,PIX
117,4710,2024-09-15,9445.16,Transferência
118,4398,2023-04-10,8432.94,Transferência
119,3954,2024-05-30,5036.64,PIX
120,4870,2024-04-10,2170.83,Transferência
121,1750,2023-05-01,8495.34,Transferência
122,5280,2024-11-07,4667.95,Transferência
123,631,2024-12-29,9023.64,Boleto
124,5452,2023-09-15,8728.88,PIX
125,2058,2024-09-10,7432.77,Cartão de Crédito
126,4781,2023-09-05,9153.94,Transferência
127,2741,2023-07-04,5391.08,Boleto
128,5294,2024-08-26,6363.03,Boleto
129,6662,2024-06-01,6541.87,Boleto
130,2128,2023-10-27,6069.98,Boleto
131,635,2023-07-06,5410.13,Boleto
132,4857,2024-04-16,344.42,Boleto
133,176,2024-02-24,5675.76,Cartão de Crédito
134,3044,2025-01-28,8148.02,Cartão de Crédito
135,3979,2024-08-18,903.23,Transferência
136,805,2024-02-27,3429.75,Transferência
137,1016,2023-06-02,8313.5,Cartão de Crédito
138,1345,2024-10-23,4493.42,Cartão de Crédito
139,3565,2023-09-23,3882.46,Boleto
140,1311,2024-10-20,8871.24,Transferência
141,361,2024-03-30,2618.89,Boleto
142,6195,2024-09-04,1527.53,PIX
143,575,2024-05-20,5986.09,Boleto
144,2909,2024-01-17,6433.09,Cartão de Crédito
145,5737,2024-04-08,1340.09,Cartão de Crédito
146,4757,2024-03-03,8361.52,PIX
147,5874,2024-12-23,326.85,Cartão de Crédito
148,5286,2024-05-07,2625.8,Cartão de Crédito
149,2670,2024-06-26,7862.93,Transferência
150,1904,2023-05-26,6239.32,Cartão de Crédito
151,6235,2024-08-15,260.8,Cartão de Crédito
152,3374,2023-04-05,4026.58,PIX
153,1430,2023-11-17,6557.24,PIX
154,4951,2024-04-22,501.11,Cartão de Crédito
155,1988,2023-03-23,6008.11,Cartão de Crédito
156,3666,2024-10-26,9521.71,Cartão de Crédito
157,4982,2024-12-19,3135.52,Cartão de Crédito
158,2686,2023-08-03,4050.1,Cartão de Crédito
159,5161,2023-10-09,7554.58,Transferência
160,146,2024-01-04,7318.05,Transferência
161,2147,2025-01-05,5087.48,Cartão de Crédito
162,2549,2025-02-20,3588.06,Boleto
163,46,2023-05-08,3034.33,PIX
164,2579,2024-05-11,3588.39,Cartão de Crédito
165,4292,2023-10-30,6974.12,PIX
166,4643,2025-02-20,4242.91,Transferência
167,1280,2024-10-17,3956.0,Cartão de Crédito
168,5485,2024-03-16,1126.17,Boleto
169,2746,2023-08-16,7879.36,Cartão de Crédito
170,1563,2024-02-07,2759.13,Transferência
171,1387,2023-10-17,8611.19,Cartão de Crédito
172,4525,2024-11-29,2950.36,PIX
173,2979,2023-09-11,8435.3,Cartão de Crédito
174,2972,2024-11-06,5405.28,Transferência
175,342,2024-11-12,6710.48,PIX
176,1561,2023-10-23,1762.24,Boleto
177,5229,2024-10-26,9273.62,Boleto
178,4628,2023-04-05,5565.05,Boleto
179,4449,2024-04-06,3869.57,PIX
180,2226,2023-04-08,4963.73,Cartão de Crédito
181,1961,2024-07-20,9815.34,Boleto
182,6159,2024-08-16,1923.66,PIX
183,6025,2024-07-02,5375.64,Cartão de Crédito
184,5877,2023-07-03,1694.7,Cartão de Crédito
185,1634,2024-03-24,7529.96,PIX
186,5083,2023-10-24,1189.61,PIX
187,5315,2024-06-04,704.19,PIX
188,5886,2023-11-06,1740.05,Cartão de Crédito
189,1041,2024-09-19,6700.65,Boleto
190,5084,2023-07-21,9032.12,Transferência
191,4085,2024-06-01,2468.27,Transferência
192,2230,2024-12-14,1151.19,Transferência
193,1291,2024-03-25,2719.6,Boleto
194,4242,2024-09-27,7663.11,PIX
195,6348,2024-08-03,5491.46,Cartão de Crédito
196,6114,2024-03-14,4176.96,Transferência
197,4521,2023-07-08,6826.26,Transferência
198,4626,2023-03-14,1496.18,Transferência
199,3944,2024-04-09,2572.82,Transferência
200,6010,2023-05-16,8291.66,Cartão de Crédito
201,5434,2023-07-15,2912.8,Transferência
202,6113,2023-03-25,5780.79,PIX
203,6735,2023-06-04,3882.48,PIX
204,5274,2024-02-29,2522.71,Cartão de Crédito
205,4617,2024-05-13,3275.25,Boleto
206,3949,2023-09-06,6979.43,Cartão de Crédito
207,3164,2024-11-29,9502.41,Boleto
208,4701,2023-11-12,4390.09,Transferência
209,2072,2024-07-05,6280.79,Transferência
210,5850,2023-12-25,9240.05,Boleto
211,3172,2023-06-30,7658.75,Cartão de Crédito
212,1798,2023-05-26,3957.13,Boleto
213,688,2024-06-30,6397.77,Cartão de Crédito
214,4144,2023-11-16,580.62,Cartão de Crédito
215,2215,2025-01-24,4411.42,Transferência
216,3018,2024-09-28,1983.23,Transferência
217,2155,2023-11-08,1016.99,Transferência
218,1950,2023-08-21,3543.03,Transferência
219,2442,2023-10-11,5073.35,Cartão de Crédito
220,717,2024-04-07,7329.52,Cartão de Crédito
221,23,2023-08-08,8248.57,PIX
222,6384,2024-08-28,9954.86,PIX
223,4285,2024-05-16,151.66,Transferência
224,2676,2024-03-17,1713.23,Boleto
225,6743,2024-09-05,5277.0,Cartão de Crédito
226,6230,2024-10-18,7043.21,Transferência
227,6117,2024-09-07,1185.05,Cartão de Crédito
228,3699,2023-07-30,7423.91,Cartão de Crédito
229,4776,2023-10-10,9407.12,Boleto
230,2044,2023-12-25,3996.77,PIX
231,308,2024-08-17,5649.74,PIX
232,3504,2024-09-14,8108.91,Boleto
233,1232,2024-12-04,8908.81,Transferência
234,84,2024-11-28,5636.52,Boleto
235,744,2023-05-13,8861.84,Transferência
236,1320,2023-08-03,8668.62,Boleto
237,1660,2023-06-25,2314.32,Transferência
238,3940,2024-03-03,4217.58,PIX
239,385,2023-05-27,3264.23,Boleto
240,4275,2024-08-06,258.14,Boleto
241,4889,2024-05-30,367.47,Boleto
242,198,2025-01-13,9457.97,Boleto
243,6003,2024-08-09,1432.52,PIX
244,4529,2024-03-01,7513.78,Boleto
245,6586,2024-04-17,8697.55,Transferência
246,2458,2023-06-01,6977.54,Cartão de Crédito
247,5972,2023-03-09,2606.15,Cartão de Crédito
248,2163,2024-02-22,4155.82,PIX
249,3740,2024-12-15,524.11,Transferência
250,4685,2025-01-27,2234.98,Boleto
251,5140,2023-09-03,6305.67,Cartão de Crédito
252,4690,2023-06-30,4034.08,PIX
253,3052,2024-05-01,1669.34,Cartão de Crédito
254,1058,2023-10-15,6191.07,Cartão de Crédito
255,5174,2023-03-21,5661.22,Transferência
256,1212,2024-02-24,7315.08,Boleto
257,3633,2024-03-08,2288.88,Boleto
258,5267,2023-05-11,2092.62,Transferência
259,5195,2023-09-09,373.62,Cartão de Crédito
260,469,2024-02-21,4615.27,PIX
261,5294,2023-09-18,2204.91,Boleto
262,4688,2024-06-22,9721.28,Boleto
263,1488,2023-09-06,8986.0,PIX
264,3109,2024-08-29,9623.59,Transferência
265,5177,2024-08-26,8900.77,Transferência
266,3585,2023-07-19,3116.96,Boleto
267,3524,2024-05-04,4660.43,Transferência
268,4121,2023-04-27,1372.2,Boleto
269,6520,2024-08-27,7965.47,Boleto
270,3133,2024-08-25,8326.8,PIX
271,1120,2023-07-26,2761.39,Cartão de Crédito
272,802,2024-12-08,8382.76,PIX
273,4212,2024-10-15,5404.84,Boleto
274,4398,2024-03-28,576.78,Boleto
275,4970,2024-09-15,9746.76,Transferência
276,2354,2024-08-27,9863.05,Boleto
277,5580,2024-10-08,4202.08,Boleto
278,5923,2023-12-19,1586.0,Boleto
279,387,2023-05-29,4419.35,Transferência
280,5866,2024-10-05,3930.57,PIX
281,5772,2023-07-15,2790.76,Cartão de Crédito
282,2059,2024-10-29,3259.96,Boleto
283,6593,2023-10-20,3822.79,Transferência
284,3405,2024-01-28,8841.84,PIX
285,4634,2023-07-30,4718.83,Transferência
286,6744,2023-07-10,3411.78,Boleto
287,1297,2024-05-04,1815.24,Cartão de Crédito
288,1813,2023-04-28,7554.63,Cartão de Crédito
289,6707,2024-04-13,4888.55,Cartão de Crédito
290,2612,2024-09-24,3063.42,PIX
291,5606,2023-03-01,9689.16,Cartão de Crédito
292,4405,2024-06-17,9475.99,PIX
293,4378,2023-08-23,4375.59,Cartão de Crédito
294,3153,2024-07-14,3602.06,Boleto
295,5742,2023-05-14,2630.78,Transferência
296,1451,2023-09-06,1290.74,Boleto
297,6260,2025-01-15,9700.99,Boleto
298,6014,2024-05-05,4303.12,Transferência
299,1275,2024-05-20,3129.08,Cartão de Crédito
300,2132,2024-12-19,3431.63,Cartão de Crédito
301,651,2024-05-12,238.93,Transferência
302,5229,2023-05-21,6512.16,Transferência
303,2036,2024-01-19,2524.14,Boleto
304,5725,2023-03-30,3866.88,PIX
305,5910,2024-06-06,5750.93,Transferência
306,2360,2024-06-12,1619.16,Cartão de Crédito
307,4119,2024-11-01,4173.27,Boleto
308,3852,2025-02-02,3848.03,Boleto
309,4367,2023-04-11,1360.21,Cartão de Crédito
310,949,2023-10-16,238.9,PIX
311,607,2023-08-11,6296.23,Transferência
312,1819,2023-10-14,5473.09,PIX
313,1328,2023-07-23,1079.38,PIX
314,3750,2024-02-08,3382.85,PIX
315,3630,2023-10-23,4165.11,Boleto
316,4180,2024-01-21,9964.45,Transferência
317,5435,2023-09-15,4561.13,Boleto
318,3522,2023-10-06,7787.31,Cartão de Crédito
319,4494,2023-12-02,8565.32,Cartão de Crédito
320,2174,2024-04-08,3830.72,PIX
321,4578,2024-02-09,2395.26,Boleto
322,6937,2024-09-19,6449.79,Transferência
323,5781,2024-04-10,8176.09,Transferência
324,4865,2024-10-28,4978.85,Transferência
325,84,2024-12-12,5195.98,Transferência
326,5527,2024-07-24,571.5,Boleto
327,5349,2024-06-23,8114.77,Cartão de Crédito
328,4890,2023-08-17,6550.46,Transferência
329,303,2024-09-18,5342.23,Cartão de Crédito
330,613,2024-07-20,7705.08,PIX
331,4853,2024-03-05,4579.83,Transferência
332,6464,2023-09-02,7333.33,Transferência
333,5781,2023-09-23,5921.47,Cartão de Crédito
334,1836,2024-02-17,3113.1,PIX
335,5053,2025-01-30,8306.11,Transferência
336,5849,2025-02-14,8290.91,Boleto
337,99,2024-09-09,3606.42,PIX
338,855,2024-01-27,9679.9,Boleto
339,2643,2024-07-06,5499.9,Transferência
340,6277,2023-08-12,6785.15,Transferência
341,3534,2025-02-09,3092.99,Cartão de Crédito
342,1978,2024-05-02,1850.3,Cartão de Crédito
343,2926,2023-09-27,4163.34,Boleto
344,604,2025-01-07,7747.46,Boleto
345,780,2024-05-07,4362.15,PIX
346,2977,2024-02-28,7688.76,Cartão de Crédito
347,420,2023-12-25,5633.89,Cartão de Crédito
348,5195,2023-06-30,9149.63,Cartão de Crédito
349,1257,2024-08-01,5567.43,Transferência
350,3160,2023-10-24,4296.7,PIX
351,2,2023-03-07,8396.06,Transferência
352,4547,2025-02-23,4700.74,Transferência
353,6167,2023-08-26,9224.59,PIX
354,2801,2023-06-06,4104.99,Boleto
355,2160,2024-12-03,8101.41,Transferência
356,2283,2024-10-08,3518.12,Cartão de Crédito
357,6989,2024-06-28,2874.27,Transferência
358,423,2023-10-27,5972.8,PIX
359,42,2023-10-08,7278.83,Transferência
360,4643,2025-01-31,9812.75,PIX
361,3180,2023-05-02,721.48,Transferência
362,4764,2023-12-17,6217.43,PIX
363,4805,2024-02-17,1604.84,PIX
364,3563,2023-04-17,6906.06,Boleto
365,6472,2023-04-16,2926.06,Boleto
366,2047,2024-05-27,6661.13,Cartão de Crédito
367,4645,2025-02-04,7019.85,Cartão de Crédito
368,3474,2024-03-14,1983.94,Cartão de Crédito
369,3432,2024-09-20,6445.65,Transferência
370,690,2023-08-17,6611.18,Boleto
371,5844,2024-12-03,8535.93,PIX
372,3037,2024-03-18,9592.91,PIX
373,2384,2024-07-26,8200.44,PIX
374,2287,2025-01-06,2431.81,PIX
375,3946,2024-04-12,1877.78,Transferência
376,5631,2024-05-05,4611.6,PIX
377,122,2023-10-08,5058.88,Cartão de Crédito
378,1846,2023-09-05,1037.25,Transferência
379,598,2023-10-19,8289.67,Boleto
380,1260,2024-10-12,4148.02,Transferência
381,3014,2023-12-21,6487.91,PIX
382,5189,2024-03-04,1767.76,Cartão de Crédito
383,4603,2024-11-11,8480.08,Transferência
384,81,2023-11-03,3010.91,Cartão de Crédito
385,3340,2024-06-12,3642.75,PIX
386,1168,2024-01-20,6391.1,Transferência
387,5029,2024-04-19,841.44,Transferência
388,4782,2024-06-01,6883.46,PIX
389,6399,2023-12-01,6229.35,Boleto
390,2270,2024-03-17,7166.09,Boleto
391,1251,2023-04-24,891.08,Cartão de Crédito
392,8,2023-10-01,876.98,Cartão de Crédito
393,2724,2024-01-19,7560.61,PIX
394,6801,2024-10-05,2112.05,Boleto
395,3184,2024-05-25,9044.77,Cartão de Crédito
396,2927,2024-07-05,5132.66,Boleto
397,5794,2023-06-12,943.88,Transferência
398,6361,2024-10-11,6915.65,Boleto
399,4635,2025-01-12,1751.14,PIX
400,564,2024-01-18,9079.92,Transferência
401,5789,2024-03-10,1757.44,Transferência
402,5787,2024-04-09,2629.65,PIX
403,6866,2023-06-03,3769.6,Boleto
404,5809,2023-06-24,4492.05,Transferência
405,4243,2023-05-14,8869.32,Cartão de Crédito
406,1299,2024-06-23,2492.61,Boleto
407,6658,2023-12-19,2041.87,Cartão de Crédito
408,4125,2023-04-06,7959.12,Transferência
409,1901,2023-10-21,5633.97,PIX
410,4243,2023-07-26,2807.31,Cartão de Crédito
411,2867,2024-07-31,6347.86,Boleto
412,1390,2023-06-19,2623.8,Transferência
413,4133,2025-02-24,440.74,Cartão de Crédito
414,5956,2023-04-17,5267.33,PIX
415,4665,2024-09-26,3826.04,Cartão de Crédito
416,4007,2023-09-17,6251.64,Transferência
417,6968,2023-06-05,3176.9,PIX
418,2686,2024-12-22,4147.55,PIX
419,605,2024-06-05,6347.13,PIX
420,6870,2024-11-25,6624.14,Boleto
421,274,2025-01-30,4610.84,Boleto
422,3860,2024-05-27,4515.3,Cartão de Crédito
423,1944,2023-07-11,2608.3,Cartão de Crédito
424,2106,2024-09-23,6854.39,PIX
425,2550,2024-07-17,9813.06,Transferência
426,4456,2023-12-27,2677.17,Cartão de Crédito
427,1901,2023-10-30,6605.66,Cartão de Crédito
428,40,2024-10-23,2315.74,Boleto
429,5045,2025-01-31,1384.84,Transferência
430,4158,2024-10-24,3516.4,Boleto
431,6172,2024-01-18,807.77,Transferência
432,6839,2024-10-10,7258.47,Transferência
433,3702,2024-02-02,2881.55,PIX
434,4749,2025-01-04,4096.74,Cartão de Crédito
435,4123,2025-01-17,6268.06,Transferência
436,2255,2023-07-16,3429.54,Boleto
437,2863,2024-04-28,4562.72,PIX
438,5989,2024-08-31,5554.95,Boleto
439,3815,2023-11-10,7802.64,PIX
440,5927,2024-06-25,8817.12,Transferência
441,1331,2024-11-22,5822.48,Cartão de Crédito
442,5118,2024-04-04,9554.74,Boleto
443,6479,2023-11-15,552.88,Transferência
444,3308,2024-01-01,7458.72,Transferência
445,4146,2023-07-19,503.96,Transferência
446,4222,2023-10-30,9789.26,PIX
447,37,2024-03-12,6451.59,Cartão de Crédito
448,4546,2023-09-14,3884.2,PIX
449,2371,2023-08-28,2728.55,PIX
450,6813,2023-05-28,3944.57,Cartão de Crédito
451,5911,2024-01-13,1204.61,PIX
452,1342,2024-08-13,9061.73,PIX
453,4588,2023-08-11,7622.44,Boleto
454,3987,2024-09-19,8170.83,Cartão de Crédito
455,3489,2024-09-12,8537.12,Transferência
456,5147,2023-05-08,9719.39,Transferência
457,2523,2024-03-08,3434.75,Transferência
458,3990,2025-02-16,9623.45,Transferência
459,3170,2024-09-08,8471.67,PIX
460,5955,2024-04-06,128.23,Transferência
461,2884,2023-04-06,2347.6,Boleto
462,6715,2024-04-17,7512.08,Transferência
463,496,2023-08-01,7250.31,Cartão de Crédito
464,4497,2023-07-19,5607.67,Cartão de Crédito
465,1616,2024-02-04,6297.99,Boleto
466,6231,2023-11-02,4485.8,PIX
467,4627,2025-01-25,2426.74,Boleto
468,4874,2025-02-17,1498.68,Boleto
469,2977,2024-08-22,3074.72,PIX
470,6218,2024-10-08,8276.26,PIX
471,6221,2024-04-20,4188.59,PIX
472,5253,2024-10-06,2794.44,PIX
473,2846,2024-07-19,6500.56,Cartão de Crédito
474,1227,2024-05-21,780.79,Boleto
475,6070,2025-02-03,3737.39,Boleto
476,1567,2024-02-25,7869.57,Boleto
477,3866,2023-04-29,1495.44,Boleto
478,3753,2023-12-01,5466.14,PIX
479,4517,2024-10-08,8393.36,Transferência
480,6036,2023-05-15,8532.03,Transferência
481,5247,2024-02-13,8106.23,Transferência
482,6035,2023-06-04,3094.86,Boleto
483,1840,2023-08-04,4375.18,Boleto
484,4191,2024-01-07,3002.45,Transferência
485,374,2023-05-05,2941.2,Boleto
486,985,2024-10-21,9064.74,PIX
487,3806,2024-12-10,2997.46,Cartão de Crédito
488,4423,2025-02-17,8915.47,Cartão de Crédito
489,959,2024-11-13,3181.66,Cartão de Crédito
490,564,2023-09-12,3476.12,Boleto
491,4913,2024-08-26,72.31,Boleto
492,6203,2023-08-14,9395.97,Transferência
493,6776,2025-02-24,1134.5,PIX
494,6125,2023-03-10,8766.32,Transferência
495,1535,2024-08-05,7485.86,PIX
496,6214,2023-11-20,143.28,Boleto
497,3929,2023-12-31,9954.84,Cartão de Crédito
498,1818,2023-03-04,6113.64,Transferência
499,6956,2023-10-28,8596.05,Boleto
500,5906,2025-01-31,9731.74,Transferência
501,5991,2024-08-16,1178.71,PIX
502,6376,2024-12-10,991.29,Cartão de Crédito
503,202,2024-04-01,4934.75,PIX
504,1505,2024-05-11,5962.63,Transferência
505,296,2024-11-27,9145.73,Boleto
506,4666,2024-05-21,3352.17,Cartão de Crédito
507,1202,2024-03-07,9783.46,Transferência
508,4256,2023-10-15,8867.85,Cartão de Crédito
509,3171,2023-04-30,6073.69,PIX
510,1406,2024-06-13,8160.66,Transferência
511,694,2024-10-20,5426.2,PIX
512,5723,2023-03-14,409.38,PIX
513,4633,2024-02-24,9642.1,Cartão de Crédito
514,6296,2023-12-05,4612.43,Boleto
515,5350,2024-08-18,3252.85,Transferência
516,3760,2024-12-30,370.01,Boleto
517,3403,2023-04-26,9642.92,PIX
518,2611,2023-12-31,5865.61,PIX
519,4683,2024-10-09,4584.59,Cartão de Crédito
520,644,2023-08-29,3649.86,Boleto
521,3362,2024-07-19,5655.89,PIX
522,4544,2023-03-25,5169.26,Transferência
523,1268,2024-11-21,6995.65,Transferência
524,2256,2024-05-09,2624.56,Boleto
525,6236,2023-05-27,7967.01,Cartão de Crédito
526,2359,2023-08-06,3758.38,Cartão de Crédito
527,1402,2023-12-12,3145.1,Boleto
528,4194,2024-11-06,3592.91,Boleto
529,6851,2023-09-01,1457.08,Boleto
530,1301,2024-09-21,9486.65,Cartão de Crédito
531,653,2024-10-19,3458.99,Transferência
532,1212,2024-04-03,4941.03,Boleto
533,2673,2023-12-14,5984.82,Transferência
534,5155,2024-03-28,3540.76,PIX
535,2884,2024-04-25,6578.15,Transferência
536,4874,2024-04-15,7791.18,PIX
537,6412,2024-04-24,2822.45,Cartão de Crédito
538,2400,2023-07-12,4313.31,PIX
539,6976,2024-01-24,5919.42,Cartão de Crédito
540,4492,2024-11-23,5344.14,Transferência
541,2585,2024-01-25,4718.5,PIX
542,6681,2024-07-05,922.0,Transferência
543,4792,2024-12-25,1487.85,Boleto
544,3728,2024-12-07,1571.0,Cartão de Crédito
545,4119,2023-07-24,9905.29,PIX
546,6597,2024-06-13,9094.47,Boleto
547,6572,2023-12-22,119.99,Boleto
548,1707,2023-07-11,9662.13,PIX
549,1033,2023-10-26,8269.72,Transferência
550,4602,2023-04-19,3743.39,Transferência
551,5604,2024-06-10,3072.74,PIX
552,668,2023-06-13,4167.66,PIX
553,6344,2024-04-23,8873.92,Boleto
554,3904,2023-04-22,3376.58,PIX
555,6186,2024-10-09,6290.64,Boleto
556,2836,2024-11-10,8237.31,Boleto
557,4699,2024-07-13,7545.33,PIX
558,4360,2024-09-16,7352.71,Cartão de Crédito
559,3605,2024-03-08,5016.0,Transferência
560,1469,2024-01-14,9007.05,Cartão de Crédito
561,72,2024-06-25,9505.79,PIX
562,3385,2024-10-15,506.8,PIX
563,4238,2025-01-06,5994.82,Boleto
564,4981,2024-05-13,4496.79,Cartão de Crédito
565,855,2024-09-05,3786.8,PIX
566,1233,2023-11-15,560.28,Cartão de Crédito
567,3950,2024-08-11,7588.46,Cartão de Crédito
568,360,2024-01-30,6777.01,Boleto
569,6196,2024-05-13,1621.82,Transferência
570,4774,2024-03-15,6664.17,PIX
571,3288,2024-07-22,5276.25,Boleto
572,4115,2024-09-18,7567.94,Boleto
573,4839,2025-01-12,4932.15,Cartão de Crédito
574,5243,2023-09-09,5209.47,Cartão de Crédito
575,4047,2023-11-30,1926.17,PIX
576,3323,2024-11-20,3599.98,Transferência
577,6945,2023-07-10,9001.01,Transferência
578,5070,2024-05-11,4315.92,Transferência
579,503,2023-08-02,4114.94,Boleto
580,5850,2023-03-02,7940.1,Cartão de Crédito
581,5038,2023-04-24,4831.91,Transferência
582,4126,2024-03-13,3144.69,Cartão de Crédito
583,432,2023-03-23,9268.37,PIX
584,4803,2023-11-23,4042.03,Cartão de Crédito
585,4344,2023-04-21,4528.05,Boleto
586,1421,2023-04-20,5393.04,Transferência
587,3674,2023-05-03,1929.01,PIX
588,1480,2023-03-09,3159.98,Transferência
589,6694,2024-05-14,8350.62,Transferência
590,3168,2024-01-25,7789.39,Transferência
591,4667,2024-12-16,1871.93,Cartão de Crédito
592,2203,2023-10-18,9266.25,PIX
593,3241,2023-11-18,8702.42,PIX
594,6793,2023-11-27,505.12,Transferência
595,1090,2023-09-23,4716.6,Boleto
596,4993,2023-08-05,1476.63,Boleto
597,1468,2023-07-17,9912.72,Transferência
598,5613,2024-03-30,729.36,Cartão de Crédito
599,1240,2023-06-20,2675.39,Boleto
600,2250,2025-01-03,9104.46,Boleto
601,1005,2024-03-03,5460.69,Transferência
602,3763,2024-09-27,7193.01,PIX
603,3165,2024-08-03,8817.9,Transferência
604,2373,2023-04-06,8891.84,Cartão de Crédito
605,1458,2024-02-02,6812.29,Boleto
606,1193,2023-03-12,1766.6,PIX
607,1903,2023-03-23,7386.65,Boleto
608,3529,2024-02-29,6843.25,Transferência
609,2518,2025-02-10,6317.48,Transferência
610,6420,2024-08-29,7647.77,Boleto
611,1067,2024-05-15,3798.37,Cartão de Crédito
612,451,2024-04-22,8333.01,PIX
