id_despesa,categoria,descricao,valor,data_despesa
89,Operacional,Every order continue owner alone develop.,44361.97,2024-02-11
90,Operacional,Consider main new after.,30141.0,2024-12-06
91,Operacional,Never fine child church teach along science.,995.92,2024-05-05
92,Marketing,Free star floor very listen.,49616.26,2023-11-03
93,Salários,Particularly happen may even.,32394.98,2024-01-28
94,Marketing,Hour hundred sound act sound.,13377.48,2023-12-17
95,Operacional,Onto want vote country example.,3937.07,2024-09-08
96,Infraestrutura,Wife seat five act mind system skill.,8196.23,2024-01-25
97,TI,Outside system carry girl bar career support.,2530.55,2023-07-01
98,Marketing,More option with fire.,2418.42,2024-09-24
99,Infraestrutura,Interesting establish million attack.,26877.61,2024-09-14
100,Infraestrutura,Win if player go oil concern never question.,37111.24,2024-03-03
101,Operacional,Someone character experience hundred win debate chance.,3141.47,2024-02-14
102,Operacional,Them talk today worker property drop.,21406.32,2024-01-07
103,Salários,Help law until full smile.,30818.98,2023-10-14
104,Operacional,Shoulder take business all already statement matter.,29108.53,2024-11-01
105,Marketing,Would blood whom first.,9741.25,2024-04-10
106,TI,Society professional human arrive.,7286.54,2023-12-17
107,Operacional,Ten ago choice least cold window herself.,44324.3,2024-10-30
108,Marketing,Skill forget floor politics.,9169.81,2024-04-18
109,Marketing,Store next pattern teacher me instead while.,15370.0,2024-11-13
110,Infraestrutura,Choice prepare imagine floor world.,21912.94,2024-03-25
111,Salários,Pretty source tell deep skin.,49375.2,2023-06-15
112,Marketing,Administration board energy between position.,28677.49,2024-05-09
113,Salários,Despite find best who.,49021.39,2024-11-26
114,TI,Suffer Democrat push research pass their Congress.,39184.79,2023-07-12
115,Salários,Lawyer ground office important traditional itself.,14809.29,2025-02-02
116,Salários,Discussion his we business affect data.,8554.95,2024-01-17
117,Salários,Traditional sit eat interest.,23045.39,2023-03-21
118,Salários,President others parent radio approach continue.,31658.88,2023-09-25
119,Marketing,Would business moment born deep season require.,5859.79,2024-12-14
120,Salários,Maintain individual conference agency.,8494.33,2025-01-10
121,Operacional,Individual environmental everyone wrong article until career.,2528.35,2023-06-20
122,Operacional,Term now possible total walk billion.,7354.31,2023-04-16
123,Salários,Only sense eight agent.,35737.93,2023-08-11
124,Operacional,Wrong understand government often until morning community.,7540.78,2024-09-29
125,TI,However develop other probably pretty.,30454.02,2023-10-16
126,Marketing,Government building available race help back sort.,9082.36,2024-12-31
127,Marketing,Activity according school ever.,41520.18,2024-04-13
128,Infraestrutura,Collection grow marriage doctor.,21928.21,2024-08-29
129,Operacional,Yourself method large any.,16658.63,2024-04-25
130,Operacional,Wish camera central true structure.,33364.59,2023-07-13
131,Marketing,Far every most car way must.,5359.48,2024-09-28
132,TI,Resource able price girl.,32111.0,2024-03-26
133,Salários,Lawyer foreign seem tax at have.,3448.05,2024-11-28
134,Marketing,Right why doctor medical.,12558.38,2025-02-08
135,Marketing,One take increase away himself which hotel.,33356.16,2024-09-20
136,Infraestrutura,Effort pretty executive visit fall their country.,40768.65,2024-12-06
137,Marketing,Very become young question watch people.,6113.5,2024-12-25
138,Infraestrutura,Group he participant call.,2896.74,2024-02-06
139,Marketing,Include either sense dream decide all control.,49958.19,2024-07-23
140,Infraestrutura,Democratic difference spring off along purpose physical.,7118.61,2023-11-11
141,Infraestrutura,Skill little defense player seat poor.,16253.98,2023-11-15
142,Infraestrutura,Personal according realize public yeah.,23884.93,2023-04-22
143,Marketing,Usually option sing history successful ever coach.,7697.82,2024-06-18
144,Infraestrutura,Need goal Mr sometimes buy view worker.,30223.43,2024-05-16
145,Operacional,Later west up concern their.,39504.91,2025-02-14
146,Salários,Personal really but maybe stop.,21227.48,2023-11-25
147,Operacional,Mr sometimes free alone whatever charge Mrs.,15102.94,2023-11-24
148,Infraestrutura,None do right wind draw.,44842.96,2023-03-24
149,Marketing,Community run material.,29476.2,2024-01-22
150,Salários,Watch other environment Mr.,35944.89,2024-08-10
151,Operacional,Computer game visit become box rate wish follow.,43703.41,2023-12-14
152,Operacional,Three find degree movie car popular inside.,48852.31,2024-03-21
153,Salários,Himself evidence kind buy American necessary foreign.,35463.31,2023-06-20
154,Infraestrutura,Why card section pass score once throughout increase.,39219.23,2024-08-15
155,Infraestrutura,Mrs city throw role let lead.,35179.43,2024-09-28
156,Salários,Form training lawyer trip dog somebody media when.,1455.57,2025-02-03
157,TI,Sport white democratic.,7550.41,2023-05-15
158,Marketing,Nothing ready attention seek candidate.,40305.3,2024-08-06
159,Infraestrutura,Scientist free central heart game.,10265.09,2024-10-10
160,Operacional,If federal now production factor.,34714.51,2023-10-21
161,TI,Red his model teach.,1694.1,2023-10-21
162,Operacional,Century card unit brother until wide me.,29460.02,2024-08-19
163,Marketing,Beat moment as.,8960.0,2023-08-30
164,Salários,Face bank seek coach owner someone.,16179.24,2023-07-27
165,Salários,Magazine production believe majority national.,39152.47,2024-06-04
166,Marketing,Field onto act expert economic necessary team name.,31839.87,2024-06-26
167,Operacional,Task level smile wait sing.,28396.17,2024-02-02
168,Marketing,So amount rich hour represent subject.,49776.08,2023-12-10
169,TI,Husband wrong up which together often prove.,7335.1,2023-12-23
170,TI,Reach dark important prepare at cut.,42296.49,2023-06-21
171,Marketing,Need church cost knowledge.,17655.92,2023-06-15
172,Operacional,On half over into.,23327.0,2023-03-03
173,Salários,Bar finish store about nothing fill.,18845.65,2024-08-29
174,Salários,Room tax boy opportunity report various position.,39768.13,2024-11-28
175,Marketing,Help fine senior series scientist audience population.,18825.89,2023-08-23
176,Marketing,Risk six consider the.,877.48,2024-05-18
177,Operacional,Current shoulder item great other call low.,41785.79,2025-01-16
178,Marketing,Ground receive new then body resource also low.,29604.63,2024-04-20
179,Infraestrutura,Back interesting should approach already.,8746.84,2023-12-20
180,Infraestrutura,Special lay position home camera woman kitchen.,38683.54,2025-01-15
181,Marketing,Realize believe may.,8855.9,2023-10-25
182,Operacional,I way as couple.,5796.12,2024-05-08
183,Infraestrutura,Rock I bad particular institution chance several form.,32770.79,2024-09-08
184,TI,One draw probably character but body.,14797.91,2024-03-20
185,Infraestrutura,Today set feel use kind finish.,26694.86,2024-02-23
186,Marketing,Catch hit college test including guy.,765.18,2024-03-24
187,Salários,Direction break character.,32000.99,2023-11-16
188,Infraestrutura,College drop evidence month drop within.,11901.56,2024-01-14
189,Salários,Stay win imagine because miss.,19224.75,2023-07-23
190,Salários,One our brother specific.,24314.0,2023-10-02
191,Infraestrutura,Consider establish available hospital authority.,45918.05,2024-07-16
192,Operacional,Other soldier investment would price whatever.,42041.76,2023-12-11
193,Salários,Agree once case radio east hour.,36847.83,2023-07-14
194,Salários,Fact professor would throughout picture red.,39457.43,2024-05-12
195,Infraestrutura,Energy drive democratic education.,4908.98,2024-12-20
196,TI,Father building movement describe ground myself.,35778.15,2023-04-19
197,Salários,Picture even light.,30064.23,2024-09-23
198,Infraestrutura,Election director thousand.,17553.58,2023-08-06
199,Salários,Leader commercial he a race term same.,27365.38,2024-03-25
200,Operacional,Both tree own room information couple society.,34212.1,2024-11-04
201,TI,East you decide score receive light vote.,24634.45,2023-09-13
202,Marketing,Choice technology low spend few.,45499.69,2024-02-15
203,Operacional,Treatment voice choose while quickly upon police ask.,26637.11,2024-02-24
204,Infraestrutura,Manage story election president area.,22341.23,2025-02-24
205,Infraestrutura,Of hotel ten look human its table find.,25551.05,2023-05-28
206,Salários,He list coach of candidate.,19729.83,2023-04-04
207,Marketing,Moment election laugh production three.,36787.36,2023-09-20
208,Infraestrutura,Total allow respond rate former probably movie.,20772.03,2023-07-10
209,Marketing,Despite part force benefit green.,2164.57,2024-07-21
210,Marketing,World great court provide fine easy.,41053.14,2024-05-16
211,Operacional,Doctor various force official create west role.,23932.06,2025-02-08
212,Operacional,Of name hospital such too I.,33564.82,2023-11-24
213,Operacional,And arrive letter meeting box.,45581.02,2023-10-14
214,Marketing,These give network.,2727.56,2024-01-04
215,Infraestrutura,Section throughout catch director clear upon.,17050.49,2023-06-19
216,Infraestrutura,Produce what bit build rich form.,36396.65,2023-04-13
217,Operacional,There approach campaign catch necessary.,2431.57,2024-02-15
218,Operacional,Where parent another success likely world father.,33795.23,2024-12-05
219,Salários,Hit onto card small choose lead difficult.,19228.33,2024-06-11
220,Marketing,Next note effect western drug.,4984.46,2023-08-05
221,Marketing,Box choose series.,12651.26,2023-07-24
222,Infraestrutura,Seven not campaign culture.,22530.17,2024-06-22
223,TI,Pressure manager produce receive third top.,11417.29,2023-07-05
224,Infraestrutura,Fill stand quality speak form it show.,13406.45,2024-07-11
225,Infraestrutura,Again trip born great law from shake.,24268.87,2024-04-17
226,TI,Market how result establish plan.,49982.71,2024-09-26
227,Infraestrutura,Choose hotel computer attack western eye.,12203.91,2023-12-26
228,Infraestrutura,Mind hit place west especially.,21522.94,2025-01-21
229,Operacional,Fast Democrat quite begin car risk.,36306.66,2024-07-25
230,Marketing,Again early left born plant.,1713.93,2024-08-15
231,Infraestrutura,Drive between focus before sense nature head.,41420.48,2023-09-13
232,Marketing,Left thought leave election actually.,34323.42,2023-10-02
233,Infraestrutura,Apply experience later understand cup hold dark sometimes.,14308.49,2024-02-27
234,TI,Election nearly prevent everyone face others.,17714.14,2025-02-05
235,Operacional,Send article lot.,18736.18,2023-12-31
236,Salários,Middle sign something war range.,8502.16,2024-08-06
237,Operacional,Activity any gun marriage blue.,30850.49,2023-08-11
238,Salários,Nothing movie open.,24730.67,2025-02-07
239,Operacional,Meet television note pay.,13796.16,2024-04-25
240,Marketing,He allow simply cover movement stuff.,1165.62,2023-10-14
241,Operacional,Around before beautiful best and role.,42302.6,2023-06-14
242,TI,Money month step across hand what establish oil.,48967.74,2023-06-23
243,Marketing,Mind social serious imagine record and arm lose.,16452.4,2023-12-05
244,Marketing,Back maintain including who.,5346.48,2024-03-02
245,Salários,Be which capital.,13800.68,2023-10-29
246,Operacional,Wear foot front those son every.,24283.87,2024-03-12
247,TI,Professor care green fast.,29153.22,2025-02-21
248,Operacional,National large federal represent its audience.,14323.52,2023-10-27
249,Marketing,Fly fine true anything perhaps responsibility bed.,48454.71,2023-03-02
250,Salários,Culture surface toward blood.,5969.92,2023-07-23
251,Salários,Different beautiful majority we community.,4133.22,2023-07-11
252,TI,Gas name rest.,7665.97,2023-06-05
253,TI,Pattern we television all size success.,15087.95,2024-10-05
254,Salários,Amount car time special once degree forward.,49202.8,2023-09-19
255,Operacional,Drive present great scene sure.,38985.64,2024-12-27
256,Salários,Process if medical benefit common.,33300.92,2024-03-07
257,Operacional,Most word perhaps morning southern fine choice.,31049.68,2023-03-12
258,Infraestrutura,Street order as recently message out.,9957.43,2024-05-16
259,TI,Yet usually certainly seek worry.,36954.74,2024-04-10
260,Operacional,Hand not turn.,4338.15,2024-04-09
261,Marketing,Nothing artist inside rather character.,11745.61,2023-12-20
262,TI,Inside ground be away court ball grow receive.,6095.16,2024-10-14
263,Salários,Explain movie can item score always near outside.,45317.53,2024-12-23
264,Infraestrutura,Camera heavy staff cause decision not.,33540.62,2024-02-23
265,Salários,Response science suggest image player great.,38351.42,2023-05-23
266,Infraestrutura,Book note place better lead.,21583.07,2024-08-09
267,TI,Both answer catch travel article behavior.,34841.71,2024-11-25
268,Salários,Never wonder popular watch dog use.,20117.65,2024-03-26
269,Salários,Million drop treatment recognize.,9162.39,2023-09-04
270,Marketing,Thought speech choice operation.,37694.04,2024-04-02
271,TI,Worry couple nature institution just top sea.,35556.19,2024-11-09
272,Infraestrutura,Might dinner bad.,29058.85,2024-06-05
273,Infraestrutura,American dream service yet customer speak pass garden.,31024.01,2024-04-24
274,Salários,Across million activity lay should.,34637.63,2023-11-01
275,TI,Save child always five.,48301.87,2023-06-09
276,Salários,Himself set develop weight.,19944.78,2024-02-13
277,TI,White why already stage financial.,16203.92,2023-12-07
278,Marketing,Serious employee keep sea.,29859.08,2023-08-28
279,Infraestrutura,Space white scientist remember.,45203.16,2025-01-07
280,Infraestrutura,Follow difference require ok.,28123.41,2024-06-15
281,Salários,Congress small this expect meeting everybody.,7427.92,2023-11-30
282,Infraestrutura,Perform within drop single.,46578.37,2023-11-26
283,Infraestrutura,And job soon agreement memory skin before.,36099.43,2024-07-20
284,Infraestrutura,Debate before now various most remain approach need.,17022.41,2024-12-10
285,Infraestrutura,Dream win table these.,40558.34,2024-11-28
286,TI,Blue early reflect create treat.,18369.2,2024-06-29
287,Operacional,Use possible open.,35937.81,2023-10-25
288,Salários,Politics last opportunity stand major head.,4957.2,2024-09-25
289,Marketing,Movie throughout garden action Mrs.,26349.98,2024-10-02
290,TI,Anything behavior brother blood receive clear determine.,26238.36,2024-01-21
291,Marketing,High live prepare of watch figure.,11665.26,2024-08-25
292,TI,Thus degree join enter let computer color.,4753.1,2023-09-21
293,Salários,Although tree win long wife surface strong section.,22525.04,2023-11-23
294,TI,Walk just both.,41351.23,2023-11-27
295,Marketing,Note myself from chair.,19547.67,2024-08-16
296,Infraestrutura,Between issue painting off current pretty serious.,19751.1,2023-11-01
297,Salários,Agent quite reality sell.,18419.34,2024-09-03
298,TI,Require move shoulder.,27829.02,2023-11-29
299,Infraestrutura,Start once daughter join.,4468.74,2023-09-29
300,Marketing,Since continue report recent become.,47202.92,2024-09-08
301,Salários,Last admit write fill population finally.,15542.19,2023-12-13
302,Marketing,Hope bag result on perform put season.,31006.77,2024-04-07
303,Marketing,Charge work student capital imagine skill.,17909.72,2025-01-12
304,Marketing,Star early put quite statement.,10827.71,2025-02-24
305,Marketing,Century catch item.,27564.96,2024-09-29
306,Marketing,News relationship establish dark same.,7771.93,2024-03-01
307,Marketing,Color she write my half.,2481.53,2024-05-21
308,Infraestrutura,Among able become save need American.,30055.46,2024-05-20
309,Salários,Good hope production check vote certain say.,45886.86,2023-06-07
310,TI,Sure create beat serve paper.,16535.05,2025-02-16
311,Infraestrutura,These recent response rate group everybody keep.,23690.24,2024-05-22
312,Marketing,Cost can real majority low after majority.,22138.55,2024-11-19
313,TI,Least within weight nice least owner.,16763.47,2023-08-06
314,Salários,Phone if always address impact more protect.,42215.67,2024-09-26
315,Salários,Still strategy great main recognize a simply.,10465.77,2024-08-16
316,Marketing,Work meeting stuff administration.,48032.35,2024-12-12
317,Salários,Ahead environment budget property.,34754.41,2023-10-18
318,TI,Movement white many argue lay space.,5057.55,2023-04-26
319,Infraestrutura,Name write skill physical one simply generation peace.,10974.38,2023-08-02
320,Marketing,Off move seem me.,29328.68,2024-07-27
321,TI,Throw imagine indeed listen type.,47371.08,2023-06-16
322,TI,Adult fact better better.,32701.43,2024-10-30
323,Marketing,There down common may although.,4927.51,2024-04-07
324,Operacional,Focus those chance moment push.,5145.55,2025-01-10
325,TI,Drug fund front season scene Democrat.,43791.62,2025-01-24
326,Infraestrutura,Live fire reality.,1185.2,2024-06-29
327,Infraestrutura,Break whom street research.,16733.01,2023-11-02
328,Infraestrutura,Shake ask oil teach.,10567.11,2023-09-08
329,Salários,Foreign action information.,44151.88,2023-05-15
330,Infraestrutura,Later Congress assume middle base.,34866.93,2024-12-08
331,Operacional,Indicate performance rule education.,33752.04,2024-03-02
332,Salários,Away forget subject sell media.,18791.89,2023-10-25
333,Salários,Paper well miss woman.,34366.89,2024-08-08
334,TI,Party speech read mission rise notice.,36066.65,2024-06-05
335,Infraestrutura,Seat away eat color however.,34530.63,2024-06-07
336,Infraestrutura,People within person actually manage north decision general.,10106.36,2024-06-20
337,TI,Generation southern light end list put involve.,26886.04,2023-11-13
338,Operacional,Both agreement scientist early Congress when.,28364.08,2023-12-13
339,Salários,Weight computer population professor child former even.,41017.74,2024-09-09
340,TI,Though enter huge piece.,16046.78,2023-03-26
341,Salários,Detail certainly about face possible health.,29595.74,2024-04-06
342,Infraestrutura,Sea blue especially cup beautiful five.,8795.22,2023-12-26
343,Marketing,On perform provide.,18758.79,2023-09-12
344,Infraestrutura,Why meet high.,13447.79,2024-02-08
345,Marketing,Front size ago.,41081.78,2023-07-23
346,Infraestrutura,Product old central experience no.,3496.9,2024-07-25
347,Infraestrutura,Necessary third keep benefit PM instead.,5240.58,2024-01-22
348,TI,Inside group officer particularly address near.,12419.06,2024-11-06
349,Operacional,Religious social car back.,1774.55,2023-03-24
350,Operacional,Civil throw similar.,33288.8,2024-01-27
351,Salários,Turn place participant hospital already.,20007.66,2023-03-07
352,Marketing,Set some vote finally north population.,43835.86,2023-05-31
353,Infraestrutura,Dream woman program two care next but.,27246.04,2023-06-04
354,Infraestrutura,Hot high scene lead matter tough.,27649.61,2024-05-14
355,Operacional,Believe fill stay.,29621.58,2023-03-12
356,Operacional,Media identify debate police.,11401.45,2024-12-19
357,TI,Need point benefit me reality especially soon bit.,49626.73,2024-06-20
358,Operacional,Director suggest audience.,15339.53,2023-09-21
359,Marketing,Free discuss theory their eye candidate.,41579.12,2023-04-28
360,Operacional,Vote professional color concern.,8741.5,2024-10-14
361,Salários,Road find soon huge back tough.,39713.55,2023-04-07
362,Infraestrutura,National attack former.,20074.46,2024-01-14
363,Infraestrutura,Way road adult small fast.,49732.53,2024-09-01
364,Operacional,Improve all site write later character list.,47826.42,2023-05-24
365,Salários,Series cover most if speech road majority sing.,45924.55,2024-10-16
366,Salários,Drive instead pay sign across reason protect.,13197.83,2023-08-13
367,TI,Job high hospital foot onto station government.,45226.08,2024-05-05
368,Salários,Total his old produce how kind.,34213.76,2025-01-04
369,TI,Hit family national though.,34765.89,2024-05-13
370,Salários,Maintain security tax market.,42040.97,2023-05-12
371,Operacional,Pick least use difficult reveal.,22608.57,2023-12-10
372,TI,Expect manager skin per detail run current.,4254.79,2024-04-18
373,Infraestrutura,System security happen off.,21908.68,2023-07-09
374,Salários,Enter cell why today themselves dinner a.,1149.52,2024-07-28
375,TI,Build pass article power successful.,11246.06,2024-10-17
376,Salários,Gas political reach though Congress condition figure.,26201.16,2024-08-16
377,Marketing,Speak size increase view parent director.,28715.74,2023-05-07
378,Marketing,Pull drop heavy consumer method coach.,24704.28,2024-05-04
379,Marketing,Build seek bring impact fill claim.,21061.89,2024-10-23
380,Operacional,Necessary land federal black popular.,49228.96,2024-02-27
381,Operacional,Bit pull education baby of hear.,22221.64,2024-02-17
382,Marketing,Already spring she woman half actually.,40861.8,2024-12-21
383,Operacional,Amount nearly there goal along.,27161.7,2023-10-26
384,TI,Hear better data side enjoy marriage those.,21952.54,2023-04-26
385,Infraestrutura,Ball sport hit generation plant different.,48453.63,2023-12-04
386,Operacional,Stand state worker industry turn special hit.,7927.58,2024-06-20
387,Marketing,Hear majority campaign teach card tough consumer.,25936.99,2023-03-27
388,TI,Item morning wish Mr color believe win.,10961.26,2024-07-12
389,Salários,Claim spring main.,7722.39,2025-01-01
390,Marketing,Head idea itself low truth church hold.,23385.13,2023-12-03
391,TI,Professional run agency behind month trip protect.,33944.33,2024-08-05
392,TI,Main identify out what.,15554.08,2024-09-14
393,Operacional,To for himself drop manager.,23562.0,2024-10-30
394,Marketing,Wind class leader.,25476.68,2025-01-04
395,Salários,Two list study ability.,15567.04,2024-09-22
396,Operacional,Goal grow statement line ground.,48943.92,2023-04-10
397,TI,View night rest.,42718.52,2025-01-14
398,Infraestrutura,Left city yourself yourself big economic.,29862.57,2023-06-25
399,Infraestrutura,Raise road doctor most million.,25031.8,2024-11-02
400,Operacional,Say tree identify.,11853.64,2023-06-21
401,Marketing,At friend sing sister fall.,2528.72,2023-09-09
402,Infraestrutura,Same career identify start develop media most than.,18654.61,2023-03-22
403,Marketing,Catch government under building cost happy conference.,43932.34,2023-11-11
404,Operacional,Million turn single range score.,47628.52,2024-05-26
405,Salários,Upon trade region air performance plant.,14739.32,2023-10-14
406,Salários,Structure if security community happy policy.,7142.51,2024-10-09
407,Infraestrutura,Memory build mother just enjoy same force any.,49293.48,2024-04-01
408,Infraestrutura,Tax example success teach page design something.,33693.97,2024-05-17
409,Salários,Parent garden wonder peace sport.,14143.2,2023-10-09
410,Marketing,Sister history machine low garden.,5925.78,2023-03-27
411,Marketing,South customer edge morning.,42454.79,2023-08-17
412,Operacional,Analysis book administration nature.,6740.0,2023-04-26
413,TI,Visit respond production manage that agree probably peace.,30921.41,2024-06-05
414,Infraestrutura,Board range capital rather there.,40427.66,2024-08-05
415,Marketing,Ask deep describe.,23511.88,2024-02-08
416,TI,War health development either language.,46306.59,2024-06-11
417,Infraestrutura,Through college discover but eat.,30847.01,2023-09-16
418,Salários,Marriage threat analysis evening never really student.,45512.36,2024-12-18
419,Infraestrutura,Right TV year company.,31403.1,2023-08-07
420,Infraestrutura,Break radio source win.,17544.79,2023-08-24
421,Operacional,Every tax law include.,2907.16,2023-04-27
422,Marketing,Foreign husband score side shake food ten.,38188.11,2024-12-22
423,Salários,Away image hair.,49130.46,2024-04-06
424,Infraestrutura,Debate charge election memory grow claim business few.,830.96,2024-09-26
425,Operacional,President share trip of help happy stand.,23545.27,2024-05-24
426,Salários,Someone where old catch probably.,31417.91,2024-09-14
427,Salários,However bring leader well.,18744.44,2023-11-24
428,Infraestrutura,Section individual important yes chair nothing section store.,25488.55,2023-09-12
429,Infraestrutura,People author sometimes ground modern group end.,18698.56,2023-12-31
430,Operacional,Service must bit four common call.,10665.31,2023-10-16
431,TI,Particular to raise prepare eight win.,47391.77,2023-11-15
432,TI,Apply culture stock eight.,30539.72,2024-01-12
433,Salários,Never open build turn.,40454.51,2024-04-09
434,Infraestrutura,Stand low beyond stuff eye or.,12498.6,2023-11-11
435,Operacional,Building up us cause reveal father.,38530.95,2024-01-20
436,Operacional,Would executive heart.,38436.54,2023-04-06
437,Operacional,Night might recognize together.,47889.0,2024-07-03
438,TI,Religious his political water wide road.,42863.51,2023-04-29
439,Marketing,Happen election whose machine surface similar task force.,48229.38,2024-09-28
440,Salários,Director they ok.,1276.58,2023-03-08
441,TI,Fish white against stop visit throughout those.,4997.51,2023-07-13
442,Infraestrutura,Rest edge appear family key dream popular summer.,43961.39,2025-01-14
443,Salários,Them event issue understand young.,5451.2,2024-05-01
444,Operacional,Hear education next one win interest catch.,12510.93,2024-09-26
445,Marketing,Book beautiful develop kind former specific.,45253.66,2023-08-21
446,Salários,Soon time teacher similar talk beyond.,44087.49,2023-08-05
447,Operacional,Three audience if behind cause need room.,41858.38,2024-10-03
448,Operacional,Charge matter choice money social former box.,39066.85,2024-10-22
449,Marketing,Once other guess compare job account government.,20135.68,2023-05-15
